text,sentiment_label,cmi_score,gujarati_token_count,english_token_count,hindi_token_count,my_label,my_notes
Well what can be said about Jaydeep 😂his always stealing Sarikha thunder.Meaning if Sarikha is not well instead of looking after her he get unwell and wants attention from everyone. Your papa is right you have a lazy talent 😂😂Bhavnaben is right you don't do anything in the house to help.But that's you and I enjoy your vlogs. 😂😂,negative,3.23,1,60,1,,
Itna over acting nahi karne ka 😂😂,neutral,16.67,0,5,1,,
Amne vadie farva kyare laijasho ?,neutral,20.0,1,4,0,,
Sarika is write nose thi hand tak 1 miter hoti hai,negative,20.0,0,8,2,,
Aura farming at the top.,positive,20.0,0,4,1,,
Video hoga spelling I think by mistake mistype ho sayd...,negative,10.0,0,9,1,,
"I really like this specific  Lavari because you give the guest more chances to speak and explore her journey in depth. This approach helps the audience learn more about the guest while keeping the conversation light, interesting and funny. Keep it up.",positive,9.52,0,38,4,,
"Tame pan nana baccha jevu karo cho mango ras joi ne saathe Kanu pan.Tamara vadi na onions bahu mast che.Kai pan bolo ganya bhale na hoy but Jay bhai is professional vlog maker,he knows everything.You are big brother of Sandhya so she's smiling & laughing too,well done.👍",negative,11.54,6,46,0,,
"It was really irritating to watch the episode. I understand that a balance is required and this is not a talk show, but this is just boring",negative,3.7,0,26,1,,
Jaydeep bhai sachu k chhe chhokara ne khabar na hoi su khavu su na khavu,negative,26.67,4,11,0,,
Ho Aatar comment karva aayo 😅😂,negative,20.0,0,4,1,,
"Genuinely like for real, we are done with lawari series. 
I agree u getting so much appreciation and reach and audiences, 
BUT now it feels overdone. 
Give it a break, upload some other things like sketch videos, gujju reviews, parody etc. 
It's not hate for lawari it's just what we have been expecting from TCF something new. U were know for doing something new, we old subs of u want to see that variety",negative,2.63,2,74,0,,
તમારે બધા ને શું પંચાયત છે એના ઘર ની રસોઈ થી એના હિસાબ થી એ લોકો કામ manage કરતા હોય જે શીખવા જેવું છે એ શીખો ને બાકી જોયા કરો. કેટલી પંચાયત છે બીજા ના ઘર ની રસોઈ થી😂 બોવ જ સારું ફેમિલી છે તમારું આવી જ રીતે જોડે રહો બધા🤞🏻,positive,1.96,50,1,0,,
U S nu location Suparb che bhai kayu city che?,positive,20.0,2,8,0,,
"Jai jalaram 🙏🙏, nice suvichre 🎉🎉.. Mast kanu ready tai ne betho to 😅😅.. Je handwork che enu finishing mindbolwing che.. ❤❤ Volg pan saras hato 😅😅 jaydeep bhai hoi to dhamal masti hoi 😮😮😂😂😂 atle 4 chand lagi jai badha ne bolave pachi badha ni majak madti kare jova ni maja aave.. Sakhi milan bhu j mast enjoy kare che... Varshed hoi to pan sarika ji tame moklejo mummy ne majja aavshe atle... Thank you so much sarika ji chakkazam volg enjoy 🎉❤❤❤",positive,11.84,9,67,0,,
I can say I am your most loyal fan. you are the most underrated artist for Gujarati music. you should get more recognition and should be trending on social media so your music can reach many more people.,positive,5.26,1,36,1,,
"Gujarati shows che but... Banevi , sadu bhai, diayar , jethani nahi khbr....paranela che to pan....😂😂😂",neutral,26.67,3,11,1,,
Badhi comment sandhya ni che.  80% 😅😅,positive,20.0,1,4,0,,
"Are you ready for new monsoon surprise? 😍✨
A brand new monsoon song is on the way. Subscribe Jigrra now ✨",positive,5.26,0,18,1,,
"Nai sudhre a 4, guest ne to bolvado tamari pavari bau joi lidhi",negative,8.33,1,11,0,,
Mehngi cheeze achchi hoti hai..aisa nhi hai....,neutral,25.0,0,6,2,,
Good morning Jay Shree Krishna 🙏 everyone. Bahot badhiya family bonding ❤❤❤. Build sink in balcony. Masi e sixer mara 😂❤. ઘરના બધા ફેમિલી મેમ્બર એ ખૂબ સરસ વાક્યો કહ્યા એક બીજા માટે ❤.,positive,40.0,12,18,0,,
"Jigra 
તે રવિભાઈ વ્યાસ ના ફંકશન માં દિલ જીતી લીધું છે
માતાજી ના આશીર્વાદ થી ખુબ આગળ વધો 

ચિરાગ પુરોહિત
તાલાલા 
❤❤❤❤❤❤❤",positive,4.76,20,1,0,,
Mst recipe che shitalben nice 👌👌👌👌👌👌,positive,20.0,1,4,0,,
Khatu Shyam Ji a baliyadev ji bhagvan na Swarup chhe,negative,10.0,1,9,0,,
Hello Sarikaben join kem nai thatu vvip ma join par click karye to aagd nai thati kai process,neutral,5.56,1,17,0,,
Jd bhai che aetle to mja ave che vlog jova ni 🤠🤠,neutral,18.18,2,9,0,,
Too excited for Bunty banega PIK POK star 🤓 hats off to the hardworking and dedication of each one of you 🙌 you guys are the best ❣️ Bhavin your smile is killer 😩,positive,6.67,0,28,2,,
Movie making no plan hase may be aevu j  lage chhe 😀 lalo movie pachi nu 2nd Hit movie hase....  aavo plan no hoy to banavo  uncle 📸,positive,11.54,3,23,0,,
Without doctor's prescription dolo k koi paan medicine nahi levani Ani side effects bahu thay.,neutral,12.5,1,14,1,,
"Tamare ek bija jode j lawari karvi hati to guest ne kem bolaya...

Ama maja na avi...
Gust nu insult thayu hoy e vu mane lagyu...",negative,7.69,2,24,0,,
"All people have to must try malhar bhai's Cafe 
So he will not come to Do Acting",negative,5.56,1,17,0,,
Aap sheladiya ka kucha mat bolo me sheladiya ka beti hu 😂,neutral,9.09,0,10,1,,
Bhaubali jo Bana hai 🙄,negative,25.0,0,3,1,,
Scout ne bolavo Vapi no che,neutral,16.67,1,5,0,,
Sarika tamne vacche paanthi vali hair style suit nathi karti,negative,20.0,2,8,0,,
Jaydeep bhai jo aapka pani ka tanka he usme kothdi thakan do to pani nahi jae ga,neutral,11.76,0,15,2,,
Deep is the only talented in the panel after Manan bhai rest both are literally useless on the show specially OM.,positive,14.29,0,18,3,,
Manan bhai bau Consistantly  videos upload karo chone  Alvis ni salary vadhari che lage 😁😁,negative,7.14,1,13,0,,
Mane j nhi khbr tu kon che😂,neutral,14.29,1,6,0,,
Abe sab log har jagha gujarati j che❤ proud of him🇮🇳❤,positive,18.18,2,9,0,,
"Sarika ji, you are the best vlogger. Could you conduct a Q&A session with all your members (e.g., favourite place to visit, favourite food, and most importantly, childhood nickname 😂)?",positive,3.23,0,30,1,,
Lagta he puri duniya hi gujarati he😂,positive,14.29,1,6,0,,
Bhai have hardik pandya ne bolavo yarr,neutral,14.29,1,6,0,,
Pear soft hoy,negative,33.33,1,2,0,,
Jaydeep bhai tame visrati vangi Garmanu nu naam sambhalyu che?? Its a raw mango drink sweet and sour like a soup. You can serve it either hot or chilled.,positive,6.9,2,27,0,,
Lavari is most entertaining show in gujarati right now 😅❤,positive,11.11,1,8,0,,
"Bap re
Jordar rain,khub j nukshan.
Tame badha really hard worker. 
Mehnat to 💯 dekhay j che.",positive,17.65,3,14,0,,
Bhai ye mahuva ka ped hai,neutral,16.67,0,5,1,,
"anandji virji shah and shantaben shah 
ne bolavo  one of the best sense of humour all time in bollywood",positive,5.26,0,18,1,,
Kitna wait karu,neutral,33.33,0,2,1,,
Jd first tell us what is hardwork and what is struggle bcz u always said in yr vlog struggle baut kiya n hard work kiya but apko sub papa se acche se mila hai u nvr pay yr own house rent or any household groceries or anything which can one man handle without any family help or money that’s why always u say stay happy n all that but when u do real struggle n hard work by yr own without ac car and without daddy money n without any luxury just by owns then u realize whats the real hard work n how to run whole house and family but still we r so happy in our life n u will get everything in yr life by own so no need to depend on daddy’s opinoin or decision bcz at this age nothingis yrs even u cant live by yr own so do give too much gyan lecture to others just live first others life than say something,negative,1.17,0,169,2,,
Kharekhar sandhiya ji ae bouuuuuuuuuuuuuuu msssttttttttt hindola banayva che  😍😍😍😍😍😍😍😍😍,positive,11.11,1,8,0,,
થેન્ક્સ   અનુરાગભાઈને આ એપિસોડ માં લાવવા માટે  Dvij Navya Rina Dhiren MD UM  from HMT,neutral,46.67,7,8,0,,
Jay Shree Krishna Masi Kaka 🙏❤️aje saras vadi no najaro batavyo kaka ye Mor joyo badha majuro kammkarta joya kaka ketlu prem thi keta hata ke mathe safed kapdu hu lay avis saras Kaka bahu bhola che 🙏Masi aje bichara dhila thay gaya aje tamari hasi jova na mali tamne kharekhar tabiyat bagdi che Masi . Tamne kadhach acidity thay lage che . Masi aram karo ane time par jami levanu bov modu nahi khavanu jaldi jami levu . Sarika ye pan amne betha betha Rajashsthan batavyu ❤️bov saras choki dhani hati 👌Heju Kanu ne pan navu navu jova malyu ❤️saras enjoy karyu 👍Sarika taro dress bov saras hato beautiful lagti hati tu ❤️👌Jaydeepbhai tamara vlog ma ame ghanu badhu sikhye che tsmari jem hamesa positive revanu kai pan kam lo tema jan lagavi devi proper karvu . Kaka pase thi duniyadari nu gyan male . Madi pase thi ghar ma kevinrite revu badhi jawabdari nibhavi . Sarika pase thi chokravo ne saru shikhvadvu ana jeva thay javu a loko ne enjoy karavu amni nani vato dhyan ma rakhvi . Sandhya ane Hardikbhai pase thi sant revanu ane jya bolvanu hoy tyare j bolvu vichare vadhare samje vadhre bole ochu . Nice vlog ❤badha ne mara jay shree Krishna 🙏❤️,negative,12.94,20,175,6,,
"In Maharashtra - Rohan Zoshi
In Gujarati - Rohan Joshi",positive,12.5,1,7,0,,
"Je topic ni tmne bau information n hoy aena vishe aam hava ma kai b na bolo... 
Atyare gen z ne ketli mehnat krya p6i b jyare lakho ma paisa na khavdave gya sudhi gov job nai malti ( not all gov job )
Koi b khedut ne pu6o ketla bhav male 6 aena pak na and market na su bhav hoy 6
Ask any farmer who's land are going into TP(town progress)
Gain some knowledge about TP you will definately hate this BJP for sure (if you are real farmer)",negative,6.59,6,85,0,,
Sarika ne keri khata kem batavta nthi a khati nthi??,negative,10.0,1,9,0,,
Anyone know jaydeep bhai kyo camero use kre che vlog shoot krva ?❤,neutral,8.33,1,11,0,,
Dada bv dubla thay gaya chhe.,neutral,16.67,1,5,0,,
"Tame loko Be Yaar, chor bani thangat kare ni vaato karo cho to kyare Late. Amit Mistry (He was good actor) ne yaad nathi karta, Covid time par heart attack thi expire thayelo gujrati kalakaar ne bhi yaad karo koik vaar
kadach pratik gandhi na level no kalakaar hato, eni dialogue delivery ane expression bahu ocha logo ma jova male che.",negative,11.48,6,54,1,,
mra ghre roti maker 6 ema pn avu j thy che pehli rotli tmre bni evi bne and pchi second rotli fati jay 6,neutral,4.55,1,21,0,,
Sshhaabbaass khub khub dhanyawad jay hind,positive,33.33,2,4,0,,
JD bhai...vat nu khotu na lagadta...pan tame ghani vaar chhokarao thi eva kantadya jeva expression aapo cho ke tame to emni age ma tame dhamal j nathi kari😅,neutral,23.33,6,23,1,,
"Hello 
Jaydeep bhai tame pela dosa chlenge karyo hato tame Ane hardik bhai fari var chlenge karjo dosa chlenge karjo ne jaydeep bhai",negative,8.7,2,21,0,,
"Hayya ne aangne ramo , for me the best lineeeeeee of the song",positive,16.67,0,10,2,,
Chalo saras... divas ma Manan bhai no koi video (tame samjo evo nai) joi na lau tya sudhi maja na aave.. 🤣😍,positive,9.52,2,19,0,,
"Maa to maa hoti hai maa ka dard koi nahi samajh pata hai...
Jay shree krishna 🙏🙏🙏🙏🙏",neutral,18.75,0,13,3,,
Superb sheetalben unique recipe chhe maza aavi gai shikhi ne ❤,neutral,10.0,1,9,0,,
Finally akash mehta in the house ❤,positive,16.67,0,5,1,,
Manan bhai u should really complete whole game last part is really emotional and secret ending is also Hmmm Maja avse tamne 😂,negative,4.55,1,21,0,,
The great Shahbuddin Rathod sir.,positive,20.0,0,4,1,,
આના પર મે ઢોલ વગાડ્યો હતો in school 🏫 મજા આવી,positive,20.0,8,2,0,,
"Aa paan khavani ni series alag j level par che....
Aane kevay content🤣🤣🤣🤣🤣😂",neutral,7.69,1,12,0,,
Ahmedabad ma 43 che garmi,neutral,25.0,1,3,0,,
Hasto Manan bhai rajkotvala ne aavi lavario karta sara business. kravama ras chhe...atle j aava nana suna ne na olkhe....,negative,9.52,2,19,0,,
Aghq the details ghar dham hai na ge to go to ghar for dinner fgiwk hai na fir to ghar ft hai na ho gaya g uu gc ko the 😅😊,neutral,20.0,0,24,6,,
He was one of the co founders of bandish projekt. I have heard his music when I was in Ahemdabad.   He left in late 2000’s and became Nucleya. He came a long way what a journey,negative,5.56,1,34,1,,
"Fed up with the Kathiyawadis 😢, nothing personal, but South Gujarat seems to be neglected.",negative,7.14,0,13,1,,
Tame bmw ma thodo uncho slop karavi do to??,neutral,11.11,1,8,0,,
Meri pehli Mohabbat aap 🥺,positive,25.0,0,3,1,,
Just Show Rohan and instantly into the episode. Thanks Lavari for this.,positive,8.33,0,11,1,,
Hello jaydeep bhai Tame tamara pappa ne gal ma chimta Bharo chho em maro dikaro mane kare hamesha pan chiday jav chhu pan uncle bilkul chi data and nathi to me have nai china a nu nkaki karyu chhe thankyou so much …Bhagwan karshe ne Badhu Saras karshe ❤❤❤,negative,14.58,7,41,0,,
Jaydeep bhai sav bayu jevu modhu lage chhe bhai nathi saru lagyu jarai,negative,23.08,3,10,0,,
જયદીપ ભાઈ બઉ જ ભોળા છે.. ભગવાન તમારી બધી ઇચ્છાઓ પુરી કરશે.. don't worry 😊,positive,20.0,12,3,0,,
Congratulations Bhavsu today this song completed 1 month...it is a big deal and not easy to shoot the song in own voice.. really it's a master piece 😭🤧❤️,positive,3.57,0,27,1,,
We’ll do amazing all the best,positive,14.29,0,6,1,,
Chetanbhai e moz karvai😂\ bhai bhai aje to comment karvi padi,neutral,9.09,1,10,0,,
"Matho thodo thick hoy che , Shrikhand karta 😅😂😂",negative,28.57,2,5,0,,
"We cannot stop the rains but the government can definitely  do the sewage drive
This is very sad
Take care",positive,15.0,0,17,3,,
"Manan Desai, Om Bhatt, Deep Vaidya & Chirayu Mistry —
If you're reading this, pause and accept my most sincere appreciation — because you gentlemen have done what very few manage to do these days: actual, genuine, laugh-out-loud comedy. Not the forced kind. The real stuff.
You haven't just raised the bar — you built it.
Carry on. We'll be here, laughing.
Keep doing exactly what you're doing. The world needs it. 🙌😄",negative,6.76,1,69,4,,
"kan kan godi mar evu lgae vat sachi..bhai...baroda valu honest par fafad male pan boj ganda lage che en karta amar navsari na 50 varsh chalti lari par malata fafada boj sarsh lage che....bhai me roj Lala na song muk karan ke enu music amro navsari no amr gamno chokaro e music aypyu che...dehai na chokro che...bhai bhasah amri  nahari, hurat, valhad, amri bhasha evi che navsari ni bhasa boj mast che karan ke navsari etal NIR port of India.Navsari ni Gadi Tam ne roj mubabi air port par mali jashe..... bhai amra Tata Hall ma avo ne Lavari lay ne karan ke amar navssari na bo badh selibrityesh che je Mota mota kobhando kari ne Bhagi jay che....en sarkari selibrityesh kehvaya ena par Lavari karo bhai boj maja avse....",negative,5.88,8,128,0,,
The perfect song by Bhavin Bhanushali ❤️❤️❤️❤️,positive,16.67,0,5,1,,
Jamnagar  ma varsad nathi bhai savv moklo aya jaydip bhai,neutral,10.0,1,9,0,,
Jai shree Krishna 🙏 sarika  haji mumbai ma varsad nathi avyo bahuj garmi chey meghraja mehr karey jaldi..hezu n kanu ❤,neutral,10.0,2,18,0,,
"Ame bhi mummy ghare jata tayare mummy j aavta shopping karva ,have mummy  nathi tau shopping  karvanoj nathi gamtu 😢",negative,15.79,3,16,0,,
Khajur Bhai pan china aivya che jaydeep bhai fanton 😊fair ma,neutral,9.09,1,10,0,,
Editing Elvis bhai nu nathi lagtu..Mananbhai bring Elvis Back..matlab not bad editing but not like Elvis e ekdum awesome level e hoi che,negative,12.0,3,22,0,,
"The the view is most beautiful 😍




Ya talking about you bhavsu not the ice covered places 🤭",positive,18.75,0,13,3,,
JD bhai South movie hai Nana South na Hero Nani Jv hair style karo tumhara per sary Lagshye,negative,11.11,0,16,2,,
Tamaru farm kya che?,neutral,50.0,2,1,1,,
Mane to ama jaray hasu nathi aavtu ke nathi standup comedian show ma y kai hasva jevu hotu nathi standup comedian ma to amit khuwa na jokes best hoy che ema comedy ni sathe sathe logic pan hoy che ane e koi bed words ke maa baap upar kyarey joke nathi karta jyare bija standup comedian ne emay girls pan gandi gaado bole che jokes ma ane emna maa baap par jokes kare che.,negative,13.51,10,64,0,,
Bhavin kya ha yaar 🤣🤣🤣,neutral,25.0,0,3,1,,
Jd bhai I'm make-up artist agar makeup ne related Kai new hoy tya information to please share about it thank you 😊,neutral,4.35,1,22,0,,
Editor no pagar vadharvo padse manan bhai.. Su lage !😅,neutral,11.11,1,8,0,,
One of the funniest till now ☝️,positive,16.67,0,5,1,,
Bhai jarur vina su banavvu 🏡,neutral,20.0,1,4,0,,
Name of the pain bomb mention it please,neutral,12.5,0,7,1,,
"Waah, his Gujarati is much better than those so called ""Mare Gujarati cinema mate kaik karvu chhe""types people. Seems down to earth.",positive,13.04,3,20,0,,
Shdhiyaben good nechar bar ni can't ma rahine aaviya 6 pan bar no dekhav nathi karta amuk ti gamda ma rahi ne on aewo dekhav kare I am sham this,neutral,3.33,1,29,0,,
Tame loko a peli ne bau bolva j na didhi 😅,negative,10.0,1,9,0,,
"Gen z vise evu to na bolo tme tmne khabar nathi atyre ketali badhi problem che AI avya pachi ane ghani badhi biji problem na lidhe ketla loko ni job jati rai e khabar che badha Gen z eva nay hota kai
Family ma koi ak job karta hoy achanak job jati re uparthi malti pan nathi new job jetalo tamaro experience hoy te mujab te loko salary deva pan tyar nathi ak company mathi achank badhane ak sathe kai devma aave che you are fire .... Km kemke e loko ne hve jarur nathi etale to sambhalvama sehalu lagse pan jyare job jay ane biji levi atayre bav problem che okk so please badhane samjavu joye direct aavu na kai devay Gen z bijane upar dholi de che m na kevay kai situation to real ma fill karo tyare j samajay 
Saru jaydeep bhai na bolya evu kai kemke je loko ni inspiration che te aavu bole to biji var tene sambhalva na gme",negative,9.76,16,148,0,,
This song! ❤️❤️ You have sung wonderfully and with great emotion!,positive,10.0,1,9,0,,
Tame handwo se ma banavo cho,neutral,33.33,2,4,0,,
"I just googled. James Cameron has never visited Whistling Woods.


Guys please don't ever bring this guy again, Lavari ni majha jati rahe chhe. Mane dekhayu ketlu badhu tamne edit karvu padyu chhe. I wonder what all was said that wasn't acceptable and that's why had to be removed.",negative,5.77,3,49,0,,
This lavari ends the language barrier bhai je chali rhyu 6 india ma ene aa video jovo joie this is the culture bhai without language barrier 🫡,negative,8.0,0,23,2,,
"Love your commentary while you play GTA and the cut scenes too! Mane Creep kidhu, creep chu got me rofl. <3",positive,10.0,1,18,1,,
"Sorry to see some negative comments!
Even if asked to comment, we should keep it civil and positive!
I have said it before, I appreciate that JD has realised how important it is to maintain health and fitness.
Please keep it up, it will help you in the long run.",negative,4.0,1,48,1,,
Mohammad Siraj jeva lage che ho 😂😂,positive,33.33,1,4,1,,
Bhai jaldi jao jim ma saru che jim javu,neutral,22.22,2,7,0,,
Jaydeep bhai im so sorry to sey that but   unkle ne aajna vlog ma joya te bovj wit los thsy giyo che  thodok aaram karva kevo plz,negative,3.7,1,26,0,,
"Manan, Chirayu, Deep, and Om were as fantastic as ever, but the guest—whom I’ve never seen before and whose name I didn't even catch—completely ruined this episode. Arrogant, dismissive, and self-centered, he disrupted the show’s natural flow and chemistry. He never should have been invited.",negative,5.88,1,48,2,,
Hardik pandiya kyare aavse?,neutral,25.0,1,3,0,,
Om ne kem sideline karo cho bae?,negative,28.57,2,5,0,,
Bhavish ki zulfai alg hi udd rahi hai 😂😂❤️,neutral,12.5,0,7,1,,
Check hezus vit D3 &calcium levels. Low D3 can cause pain in the legs,neutral,7.14,0,13,1,,
Jaydeep bhai tame pela jeva dekhav ma nathilagta pela srs lagtata,negative,9.09,1,10,0,,
Please have her checked STAT. Has she had these episodes before??,negative,9.09,1,10,0,,
Tame badha misson loud j karjo,positive,16.67,1,5,0,,
4:20 ye to shuru hote hi khatam ho gaya,neutral,12.5,0,7,1,,
Jd bhai tame hardik bhai ne have kgf bolavta j nathi emnu naam change thay gyu che Baadsha hooo🤣🤣,negative,21.05,4,15,0,,
"Chand to 6 aasmane 
Pn tu nathi ❤️❤️❤️
👏👏👏👏",positive,16.67,1,5,0,,
Pura rajasthan geeta rabari ka fan hai,neutral,14.29,0,6,1,,
"Have to 
Kung-Fu Clutch Master ,
Snax Gaming,
Sc0ut,
Lolzz, 
K18,
AjjuBhai(Total Gaming),
Ne bolavo Yaar",negative,5.56,1,17,0,,
